legacy_row,legacy_key,new_ref,runtime_key,group,context,source_file,source_line,source_ref
148,cutscene.ending.2.2,cutscene.ending.2.2,cutscene.ending.2.2,cutscene,Cutscene ending segment 2 line 2,objects/obj_start_controller/Create_0.gml,118,cutscene_definitions.ending[2].lines
149,cutscene.ending.2.3,cutscene.ending.2.3,cutscene.ending.2.3,cutscene,Cutscene ending segment 2 line 3,objects/obj_start_controller/Create_0.gml,119,cutscene_definitions.ending[2].lines
150,cutscene.ending.3.0,cutscene.ending.3.0,cutscene.ending.3.0,cutscene,Cutscene ending segment 3 line 0,objects/obj_start_controller/Create_0.gml,128,cutscene_definitions.ending[3].lines
151,cutscene.ending.4.0,cutscene.ending.4.0,cutscene.ending.4.0,cutscene,Cutscene ending segment 4 line 0,objects/obj_start_controller/Create_0.gml,138,cutscene_definitions.ending[4].lines
152,cutscene.ending.4.1,cutscene.ending.4.1,cutscene.ending.4.1,cutscene,Cutscene ending segment 4 line 1,objects/obj_start_controller/Create_0.gml,139,cutscene_definitions.ending[4].lines
153,cutscene.game_over.0.0,cutscene.game_over.0.0,cutscene.game_over.0.0,cutscene,Cutscene game_over segment 0 line 0,objects/obj_start_controller/Create_0.gml,151,cutscene_definitions.game_over[0].lines
154,cutscene.intro.0.0,cutscene.intro.0.0,cutscene.intro.0.0,cutscene,Cutscene intro segment 0 line 0,objects/obj_start_controller/Create_0.gml,37,cutscene_definitions.intro[0].lines
155,cutscene.intro.0.1,cutscene.intro.0.1,cutscene.intro.0.1,cutscene,Cutscene intro segment 0 line 1,objects/obj_start_controller/Create_0.gml,38,cutscene_definitions.intro[0].lines
156,cutscene.intro.0.10,cutscene.intro.0.10,cutscene.intro.0.10,cutscene,Cutscene intro segment 0 line 10,objects/obj_start_controller/Create_0.gml,47,cutscene_definitions.intro[0].lines
157,cutscene.intro.0.11,cutscene.intro.0.11,cutscene.intro.0.11,cutscene,Cutscene intro segment 0 line 11,objects/obj_start_controller/Create_0.gml,48,cutscene_definitions.intro[0].lines
158,cutscene.intro.0.2,cutscene.intro.0.2,cutscene.intro.0.2,cutscene,Cutscene intro segment 0 line 2,objects/obj_start_controller/Create_0.gml,39,cutscene_definitions.intro[0].lines
159,cutscene.intro.0.3,cutscene.intro.0.3,cutscene.intro.0.3,cutscene,Cutscene intro segment 0 line 3,objects/obj_start_controller/Create_0.gml,40,cutscene_definitions.intro[0].lines
160,cutscene.intro.0.4,cutscene.intro.0.4,cutscene.intro.0.4,cutscene,Cutscene intro segment 0 line 4,objects/obj_start_controller/Create_0.gml,41,cutscene_definitions.intro[0].lines
161,cutscene.intro.0.5,cutscene.intro.0.5,cutscene.intro.0.5,cutscene,Cutscene intro segment 0 line 5,objects/obj_start_controller/Create_0.gml,42,cutscene_definitions.intro[0].lines
162,cutscene.intro.0.6,cutscene.intro.0.6,cutscene.intro.0.6,cutscene,Cutscene intro segment 0 line 6,objects/obj_start_controller/Create_0.gml,43,cutscene_definitions.intro[0].lines
163,cutscene.intro.0.7,cutscene.intro.0.7,cutscene.intro.0.7,cutscene,Cutscene intro segment 0 line 7,objects/obj_start_controller/Create_0.gml,44,cutscene_definitions.intro[0].lines
164,cutscene.intro.0.8,cutscene.intro.0.8,cutscene.intro.0.8,cutscene,Cutscene intro segment 0 line 8,objects/obj_start_controller/Create_0.gml,45,cutscene_definitions.intro[0].lines
165,cutscene.intro.0.9,cutscene.intro.0.9,cutscene.intro.0.9,cutscene,Cutscene intro segment 0 line 9,objects/obj_start_controller/Create_0.gml,46,cutscene_definitions.intro[0].lines
166,cutscene.intro.1.0,cutscene.intro.1.0,cutscene.intro.1.0,cutscene,Cutscene intro segment 1 line 0,objects/obj_start_controller/Create_0.gml,57,cutscene_definitions.intro[1].lines
167,cutscene.intro.1.1,cutscene.intro.1.1,cutscene.intro.1.1,cutscene,Cutscene intro segment 1 line 1,objects/obj_start_controller/Create_0.gml,58,cutscene_definitions.intro[1].lines
168,cutscene.intro.1.10,cutscene.intro.1.10,cutscene.intro.1.10,cutscene,Cutscene intro segment 1 line 10,objects/obj_start_controller/Create_0.gml,67,cutscene_definitions.intro[1].lines
169,cutscene.intro.1.11,cutscene.intro.1.11,cutscene.intro.1.11,cutscene,Cutscene intro segment 1 line 11,objects/obj_start_controller/Create_0.gml,68,cutscene_definitions.intro[1].lines
170,cutscene.intro.1.12,cutscene.intro.1.12,cutscene.intro.1.12,cutscene,Cutscene intro segment 1 line 12,objects/obj_start_controller/Create_0.gml,69,cutscene_definitions.intro[1].lines
171,cutscene.intro.1.13,cutscene.intro.1.13,cutscene.intro.1.13,cutscene,Cutscene intro segment 1 line 13,objects/obj_start_controller/Create_0.gml,70,cutscene_definitions.intro[1].lines
172,cutscene.intro.1.2,cutscene.intro.1.2,cutscene.intro.1.2,cutscene,Cutscene intro segment 1 line 2,objects/obj_start_controller/Create_0.gml,59,cutscene_definitions.intro[1].lines
173,cutscene.intro.1.3,cutscene.intro.1.3,cutscene.intro.1.3,cutscene,Cutscene intro segment 1 line 3,objects/obj_start_controller/Create_0.gml,60,cutscene_definitions.intro[1].lines
174,cutscene.intro.1.4,cutscene.intro.1.4,cutscene.intro.1.4,cutscene,Cutscene intro segment 1 line 4,objects/obj_start_controller/Create_0.gml,61,cutscene_definitions.intro[1].lines
175,cutscene.intro.1.5,cutscene.intro.1.5,cutscene.intro.1.5,cutscene,Cutscene intro segment 1 line 5,objects/obj_start_controller/Create_0.gml,62,cutscene_definitions.intro[1].lines
176,cutscene.intro.1.6,cutscene.intro.1.6,cutscene.intro.1.6,cutscene,Cutscene intro segment 1 line 6,objects/obj_start_controller/Create_0.gml,63,cutscene_definitions.intro[1].lines
177,cutscene.intro.1.7,cutscene.intro.1.7,cutscene.intro.1.7,cutscene,Cutscene intro segment 1 line 7,objects/obj_start_controller/Create_0.gml,64,cutscene_definitions.intro[1].lines
178,cutscene.intro.1.8,cutscene.intro.1.8,cutscene.intro.1.8,cutscene,Cutscene intro segment 1 line 8,objects/obj_start_controller/Create_0.gml,65,cutscene_definitions.intro[1].lines
179,cutscene.intro.1.9,cutscene.intro.1.9,cutscene.intro.1.9,cutscene,Cutscene intro segment 1 line 9,objects/obj_start_controller/Create_0.gml,66,cutscene_definitions.intro[1].lines
180,cutscene.intro.2.0,cutscene.intro.2.0,cutscene.intro.2.0,cutscene,Cutscene intro segment 2 line 0,objects/obj_start_controller/Create_0.gml,79,cutscene_definitions.intro[2].lines
181,cutscene.intro.2.1,cutscene.intro.2.1,cutscene.intro.2.1,cutscene,Cutscene intro segment 2 line 1,objects/obj_start_controller/Create_0.gml,80,cutscene_definitions.intro[2].lines
182,dialogue.after_class_chest_archer.0,dialogue.after_class_chest_archer.0,dialogue.after_class_chest_archer.0,dialogue,Dialogue line 0 for after_class_chest_archer,scripts/scr_dialogue/scr_dialogue.gml,36,"global.dialogue_db[? ""after_class_chest_archer""]"
183,dialogue.after_class_chest_archer.1,dialogue.after_class_chest_archer.1,dialogue.after_class_chest_archer.1,dialogue,Dialogue line 1 for after_class_chest_archer,scripts/scr_dialogue/scr_dialogue.gml,37,"global.dialogue_db[? ""after_class_chest_archer""]"
184,dialogue.after_class_chest_archer.2,dialogue.after_class_chest_archer.2,dialogue.after_class_chest_archer.2,dialogue,Dialogue line 2 for after_class_chest_archer,scripts/scr_dialogue/scr_dialogue.gml,38,"global.dialogue_db[? ""after_class_chest_archer""]"
185,dialogue.after_class_chest_knight.0,dialogue.after_class_chest_knight.0,dialogue.after_class_chest_knight.0,dialogue,Dialogue line 0 for after_class_chest_knight,scripts/scr_dialogue/scr_dialogue.gml,31,"global.dialogue_db[? ""after_class_chest_knight""]"
